canonical_project_id,project_id,observation_month,physical_progress_pct,cumulative_expenditure_cr,expenditure_ratio_pct,progress_change_1m,progress_change_3m,progress_velocity_3m,expenditure_change_1m,expenditure_change_3m,expenditure_velocity_3m,cost_escalation_pct,expenditure_progress_gap
101280,101280,2026-01-01,,,,,,,,,,,
101280,101280,2026-02-01,,,,,,,,,,,
101280,101280,2026-03-01,,,,,,,,,,,
101280,101280,2026-04-01,,,,,,,,,,,
101280,101280,2026-05-01,,,,,,,,,,,
101280,101280,2026-06-01,,,,,,,,,,,
101280,101280,2026-07-01,,,,,,,,,,,
106816,106816,2026-01-01,,,,,,,,,,,
106816,106816,2026-02-01,,,,,,,,,,,
106816,106816,2026-03-01,,,,,,,,,,,
106816,106816,2026-04-01,,,,,,,,,,,
106816,106816,2026-05-01,100.0,,,,,,,,,,
106816,106816,2026-06-01,,,,,,,,,,,
106816,106816,2026-07-01,,,,,,,,,,,
108841,108841,2026-06-01,0.0,435.31,11.633083912346338,,,,,,,0.0,11.633083912346338
108841,108841,2026-07-01,8.15,435.31,11.633083912346338,8.15,,,0.0,,,0.0,3.4830839123463377
120250,120250,2026-01-01,76.0,563.2,,,,,,,,,
124199,124199,2026-07-01,0.0,83.68,9.997610513739549,,,,,,,0.0,9.997610513739549
169570,169570,2026-01-01,,,,,,,,,,,
169570,169570,2026-02-01,,,,,,,,,,,
169570,169570,2026-03-01,,,,,,,,,,,
169570,169570,2026-04-01,,,,,,,,,,,
169570,169570,2026-05-01,,,,,,,,,,,
169570,169570,2026-06-01,,,,,,,,,,,
169570,169570,2026-07-01,,,,,,,,,,,
171218,171218,2026-07-01,26.58,0.0,0.0,,,,,,,0.0,-26.58
175860,175860,2026-07-01,8.4,562.13,11.372243576775237,,,,,,,0.0,2.972243576775236
186000,186000,2026-01-01,27.0,0.0,,,,,,,,,
188000,188000,2026-01-01,81.0,46431.54,,,,,,,,,
188830,188830,2026-01-01,95.0,1230.42,,,,,,,,,
205974,205974,2026-01-01,83.0,365.34,,,,,,,,,
210914,210914,2026-07-01,15.13,223.41,13.345878136200716,,,,,,,0.0,-1.7841218637992835
222253,222253,2026-06-01,0.0,502.0,10.023961661341852,,,,,,,0.0,10.023961661341852
222253,222253,2026-07-01,7.65,502.0,10.023961661341852,7.65,,,0.0,,,0.0,2.373961661341852
225770,225770,2026-01-01,31.0,751.95,,,,,,,,,
240484,240484,2026-07-01,0.0,83.16,9.995192307692308,,,,,,,0.0,9.995192307692308
245986,245986,2026-07-01,1.79,1.79,0.0137294575867141,,,,,,,0.0,-1.776270542413286
260860,260860,2026-01-01,70.0,1329.18,,,,,,,,,
262175,262175,2026-01-01,83.0,272.79,,,,,,,,,
267000,267000,2026-01-01,,,,,,,,,,,
267000,267000,2026-02-01,,,,,,,,,,,
267000,267000,2026-03-01,,,,,,,,,,,
267000,267000,2026-04-01,,,,,,,,,,,
267000,267000,2026-05-01,,,,,,,,,,,
267000,267000,2026-06-01,,,,,,,,,,,
267000,267000,2026-07-01,,,,,,,,,,,
297700,297700,2026-01-01,78.0,209.48,,,,,,,,,
298178,298178,2026-07-01,0.02,1002.73,2.6141352520986496,,,,,,,0.0,2.5941352520986496
317725,317725,2026-07-01,0.0,0.0,0.0,,,,,,,0.0,0.0
362420,362420,2026-01-01,43.0,941.19,,,,,,,,,
362420,362420,2026-02-01,43.0,941.19,,0.0,,,0.0,,,,
362420,362420,2026-03-01,43.45,941.19,,0.4500000000000028,,,0.0,,,,
364934,364934,2026-07-01,18.72,70.37,7.040802033097873,,,,,,,0.0,-11.679197966902128
400005,400005,2026-01-01,96.0,4482.15,,,,,,,,,
400005,400005,2026-02-01,98.0,4500.79,,2.0,,,18.640000000000327,,,,
400005,400005,2026-03-01,99.65,4523.49,,1.6500000000000057,,,22.699999999999815,,,,
400005,400005,2026-04-01,99.9,4528.07,,0.25,3.9000000000000057,1.3000000000000018,4.579999999999927,45.92000000000007,15.306666666666692,,
400006,400006,2026-01-01,32.0,542.88,67.10589747710107,,,,,,,0.0,35.10589747710107
400006,400006,2026-02-01,34.0,565.72,69.9291709415444,2.0,,,22.840000000000032,,,0.0,35.9291709415444
400006,400006,2026-03-01,36.0,596.45,73.72773458262772,2.0,,,30.730000000000015,,,0.0,37.72773458262772
400006,400006,2026-04-01,38.0,701.15,86.66979814336393,2.0,6.0,2.0,104.69999999999992,158.26999999999998,52.75666666666666,0.0,48.669798143363934
400006,400006,2026-05-01,40.0,743.46,91.89977626423072,2.0,6.0,2.0,42.31000000000006,177.74,59.24666666666667,0.0,51.89977626423071
400006,400006,2026-06-01,40.0,743.46,91.89977626423072,0.0,4.0,1.3333333333333333,0.0,147.01,49.00333333333333,0.0,51.89977626423071
400006,400006,2026-07-01,44.0,743.46,91.89977626423072,4.0,6.0,2.0,0.0,42.31000000000006,14.103333333333351,0.0,47.89977626423071
400010,400010,2026-01-01,78.0,492.21,76.90781249999999,,,,,,,33.33333333333333,-1.0921875000000083
400010,400010,2026-02-01,78.0,492.25,76.9140625,0.0,,,0.0400000000000204,,,33.33333333333333,-1.0859375
400010,400010,2026-03-01,78.7,501.81,78.40781249999999,0.7000000000000028,,,9.560000000000002,,,33.33333333333333,-0.2921875000000113
400010,400010,2026-04-01,78.9,501.81,78.40781249999999,0.2000000000000028,0.9000000000000057,0.3000000000000019,0.0,9.600000000000025,3.200000000000008,33.33333333333333,-0.4921875000000142
400010,400010,2026-05-01,79.2,506.13,79.0828125,0.2999999999999971,1.2000000000000028,0.4000000000000009,4.319999999999993,13.879999999999995,4.626666666666665,33.33333333333333,-0.1171875
400010,400010,2026-06-01,83.4,509.41,79.5953125,4.200000000000003,4.700000000000003,1.5666666666666675,3.2800000000000296,7.600000000000023,2.5333333333333408,33.33333333333333,-3.8046875
