canonical_project_id,project_id,base_risk_score,anomaly_score,trajectory_risk_score,data_confidence_score,final_risk_score,risk_category,future_deterioration_probability,predicted_future_deterioration,risk_explanation,predictive_risk_band
101280,101280,,-0.13529299579073717,30.0,30.0,18.0,REVIEW_DATA,0.4126,0,Data review is required before risk escalation.,WATCH
106816,106816,,-0.13529299579073717,30.0,30.0,18.0,REVIEW_DATA,0.4126,0,Data review is required before risk escalation.,WATCH
108841,108841,1.89,-0.09462041554595169,,53.6,1.65,LOW,0.1927,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
120250,120250,,-0.13543827979911005,,24.3,0.0,REVIEW_DATA,0.3315,0,Data review is required before risk escalation.,WATCH
124199,124199,10.73,-0.08000535684431159,,49.3,9.39,LOW,0.0359,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
169570,169570,,-0.13529299579073717,30.0,30.0,18.0,REVIEW_DATA,0.4126,0,Data review is required before risk escalation.,WATCH
171218,171218,0.0,-0.08579518150843068,,49.3,0.0,LOW,0.1132,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
175860,175860,2.34,-0.09516947314547608,,49.3,2.05,LOW,0.311,0,Limited Adverse Evidence,WATCH
186000,186000,,-0.1102321347433442,,24.3,0.0,REVIEW_DATA,0.3717,0,Data review is required before risk escalation.,WATCH
188000,188000,,-0.13524441672244264,,24.3,0.0,REVIEW_DATA,0.3315,0,Data review is required before risk escalation.,WATCH
188830,188830,,-0.1337008887481288,,24.3,0.0,REVIEW_DATA,0.1818,0,Data review is required before risk escalation.,LOW_PREDICTIVE_SIGNAL
205974,205974,,-0.13375599402396987,,24.3,0.0,REVIEW_DATA,0.3319,0,Data review is required before risk escalation.,WATCH
210914,210914,0.0,-0.10037325033985683,,49.3,0.0,LOW,0.4223,0,Limited Adverse Evidence,WATCH
222253,222253,1.04,-0.09349055459010058,,53.6,0.91,LOW,0.1617,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
225770,225770,,-0.111377266110532,,24.3,0.0,REVIEW_DATA,0.3717,0,Data review is required before risk escalation.,WATCH
240484,240484,10.73,-0.08000535684431159,,49.3,9.39,LOW,0.0359,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
245986,245986,0.0,-0.08540004583208083,,49.3,0.0,LOW,0.0279,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
260860,260860,,-0.13435913667768146,,24.3,0.0,REVIEW_DATA,0.382,0,Data review is required before risk escalation.,WATCH
262175,262175,,-0.13375599402396987,,24.3,0.0,REVIEW_DATA,0.3319,0,Data review is required before risk escalation.,WATCH
267000,267000,,-0.13529299579073717,30.0,30.0,18.0,REVIEW_DATA,0.4126,0,Data review is required before risk escalation.,WATCH
297700,297700,,-0.13612119740733925,,24.3,0.0,REVIEW_DATA,0.3315,0,Data review is required before risk escalation.,WATCH
298178,298178,1.88,-0.08241259339104867,,49.3,1.64,LOW,0.0372,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
317725,317725,0.0,-0.08494308975970782,,49.3,0.0,LOW,0.0196,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
362420,362420,73.37,-0.1229374171790405,30.0,32.9,58.8,REVIEW_DATA,0.4786,0,Data review is required before risk escalation.,WATCH
364934,364934,0.0,-0.09959281460727049,,49.3,0.0,LOW,0.3772,0,Limited Adverse Evidence,WATCH
400005,400005,23.08,-0.12291450325341957,30.0,52.1,21.74,LOW,0.1496,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
400006,400006,21.43,-0.0535671121818343,10.0,90.0,17.37,LOW,0.6945,1,High Expenditure Progress Gap,ELEVATED
400010,400010,21.04,-0.09035871655906241,10.0,90.0,17.08,LOW,0.3211,0,Limited Adverse Evidence,WATCH
400012,400012,30.08,-0.11473798617361147,30.0,90.0,26.9,LOW,0.0901,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
400013,400013,9.65,-0.02972628538038885,30.0,90.0,11.85,LOW,0.0781,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
400018,400018,35.15,-0.1277762123099544,60.0,90.0,35.37,MEDIUM,0.3956,0,Progress Stagnation,WATCH
400019,400019,0.0,-0.09093573417448197,10.0,60.7,1.58,LOW,0.191,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
400022,400022,18.3,-0.023991659947669164,10.0,90.0,15.06,LOW,0.7651,1,Limited Adverse Evidence,HIGH_PREDICTIVE_SIGNAL
400023,400023,34.31,-0.08567503662513781,60.0,90.0,34.75,MEDIUM,0.4874,0,Progress Stagnation,WATCH
400033,400033,33.32,-0.10851263605602623,60.0,90.0,34.03,MEDIUM,0.7699,1,Progress Stagnation,HIGH_PREDICTIVE_SIGNAL
400035,400035,66.47,-0.1305209393782461,30.0,56.4,53.71,HIGH,0.2363,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
